script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades,w3_roi,w3_trades,w4_roi,w4_trades
pressure-zone-analyzer-joat,trend_analysis,OK,5,2,0.2,-9.339013507812473,13.914066539062464,-23.253080046874935,4.575053031249991,-1.784318979077626,3.5511168879949144,67.34693877551021,0.13,0,-23.253080046874935,49,-7.361358992187496,0,0,0,0,0,4.575053031249991,1
price-accumulation-profile-ss,trend_analysis,OK,5,5,0.2,-9.379656228125004,12.475773343922507,-25.280043562499984,11.030179289062477,-1.8189476442742443,1.9099739175793606,33.186615186615185,0.21999999999999997,0,-25.280043562499984,37,-15.193597164062492,6,-14.817899960937517,7,-2.6369197421874997,7,11.030179289062477,35
price-displacement-model,trend_analysis,OK,5,5,0.6,-2.2243173484374967,15.24699495378522,-28.695683421875,14.788085265625037,-0.6804272518086075,1.750808744077798,48.57142857142857,0.36,0,-28.695683421875,30,9.391176710937449,28,-7.48314461718747,10,0.8779793203125009,3,14.788085265625037,28
price-memory-heatmap-bullbyte,trend_analysis,OK,5,3,0.4,-2.3290422174479173,4.299771806111752,-8.364664054687498,1.3294778046875,-0.3043197348103128,1.2845445194583078,38.888888888888886,0.22999999999999998,0,0.048059597656247205,3,-8.364664054687498,1,0,0,0,0,1.3294778046875,2
protected-swings-luxalgo,trend_analysis,OK,5,3,0.2,-0.07441429296877071,23.452260076170163,-28.77788337500002,28.66814722265622,-0.38240315179606926,2.342937677024276,83.33333333333333,0.15999999999999998,0,28.66814722265622,3,-0.11350672656251118,2,0,0,0,0,-28.77788337500002,2
pull-back-indicator-by-johandy,trend_analysis,OK,5,4,0.2,-0.8669687382812479,2.8680129839801856,-4.111865249999988,3.750092226562498,-0.7433416602579392,1.8321291686227896,33.33333333333333,0.19,0,3.750092226562498,5,-1.3143346718749962,3,-1.7917672578125057,2,0,0,-4.111865249999988,5
pure-price-action-structures-jjart,trend_analysis,OK,5,3,0.4,7.684184800781246,22.60215416948461,-24.260408156250023,24.627715164062494,0.29520110854181425,2.0660601734097193,77.77777777777777,0.2684209240039062,0,22.685247394531267,3,0,0,24.627715164062494,1,0,0,-24.260408156250023,3
quantbreak-pro,trend_analysis,OK,5,1,0.0,-10.940065320312511,0,-10.940065320312511,-10.940065320312511,-2.908280462439087,0,0.0,0.03,0,11.5377066640625,0,0,0,24.846986476562495,0,0,0,-10.940065320312511,1
quantum-dynamic-mitigation-zones-v1,trend_analysis,OK,5,1,0.0,-10.003890085937499,0,-10.003890085937499,-10.003890085937499,-1.9689249215442879,0,100.0,0.03,0,-10.003890085937499,1,0,0,0,0,0,0,0,0
range-finder-profile-ualgo,trend_analysis,OK,5,1,0.2,11.016956843749998,0,11.016956843749998,11.016956843749998,2.074163761181941,0,100.0,0.40508478421875005,0,-17.103748148437504,0,-4.560334203125007,0,0,0,0,0,11.016956843749998,1
renko-flip-alert-traditional-only,trend_analysis,OK,5,5,0.6,-2.3050801999999937,15.387421866291088,-29.099497679687484,14.788085265625037,-0.71839067123421,1.8208178790662726,48.870279146141215,0.36,0,-29.099497679687484,29,9.391176710937449,28,-7.48314461718747,10,0.8779793203125009,3,14.788085265625037,28
renko-moving-average,trend_analysis,OK,5,2,0.2,-8.712884744140645,23.270117830078107,-31.983002574218755,14.557233085937463,-2.365580800018492,3.326971028577064,49.11080711354309,0.13,0,-31.983002574218755,17,0,0,35.7194574609375,0,0,0,14.557233085937463,43
renko-structure-trend,trend_analysis,OK,5,4,0.2,-5.001645187499988,13.03676466257943,-17.44397560156253,16.64980208593751,-1.0989889317603712,1.560162830293374,27.22222222222222,0.19,0,16.64980208593751,18,-6.976730320312476,4,-17.44397560156253,5,2.9271441015625026,0,-12.235676914062452,12
reversal-entry-zones,trend_analysis,OK,5,2,0.2,-11.44712948828126,23.387809214843795,-34.834938703125054,11.940679726562536,-3.04124333236343,3.8674554119201936,50.0,0.13,0,-34.834938703125054,12,0,0,0,0,0,0,11.940679726562536,18
rolling-trendline-luxalgo,trend_analysis,OK,5,5,0.2,-9.887245828125002,22.935337998768787,-39.176614773437514,29.466373859374954,-2.667985797780466,3.1394712053927036,35.91569541569542,0.21999999999999997,0,-24.490664617187416,72,29.466373859374954,13,-7.5393475078125345,11,-7.695976101562498,2,-39.176614773437514,15
rsi-range-shift,trend_analysis,OK,5,4,0.4,-5.536955090820302,19.0902337194353,-32.549709949218744,20.321912375,-1.4049924392748916,2.6820276845648516,34.375,0.26,0,-32.549709949218744,8,-10.378148257812486,4,0.4581254687500186,4,0,0,20.321912375,4
signal-goat-hh-hl-lh-ll-extension-lines,trend_analysis,OK,5,4,0.2,-15.42519672070313,15.29446661631632,-34.23907485937504,7.9316801484375175,-2.7819657720978297,2.2493248716042658,40.09589947089947,0.19,0,-21.29236778125001,7,-14.101024390624998,12,7.9316801484375175,27,0,0,-34.23907485937504,24
simple-profit-monk-trading,trend_analysis,OK,5,2,0.2,5.996790087890629,10.77976266601563,-4.782972578125002,16.77655275390626,0.11552193905218855,1.4547286006317632,0.0,0.15998395043945313,0,16.77655275390626,1,0,0,0,0,0,0,-4.782972578125002,1
singular-spectrum-decomposition-luxalgo,trend_analysis,OK,5,1,0.0,-23.348661109374984,0,-23.348661109374984,-23.348661109374984,-4.945520295525943,0,37.5,0.03,0,-23.348661109374984,16,0,0,0,0,0,0,0,0
smart-money-auto-order-blocks-identityka,trend_analysis,OK,5,3,0.6,59.398653447916665,42.50914326906999,25.089787640624984,119.30489552343751,2.356356993563071,0.5683573090305741,88.88888888888887,0.6579106727423564,0,119.30489552343751,6,33.80127717968749,6,0,0,0,0,25.089787640624984,3
smart-money-concept-ultimate,trend_analysis,OK,5,4,0.4,3.7913009160156212,12.697493442680925,-8.891064910156274,22.63162161328127,-0.37304471883767787,1.6849858813951213,32.5,0.2789565045800781,0,22.63162161328127,6,-6.708763632812493,1,8.133410593749984,5,0,0,-8.891064910156274,5
smart-money-engine-willyalgotrader,trend_analysis,OK,5,2,0.0,-6.225969550781244,0.01053038671874651,-6.23649993749999,-6.215439164062497,-0.9804684965103376,0.2807508904462286,0.0,0.06,0,20.140926289062495,0,-6.23649993749999,1,24.846986476562495,0,0,0,-6.215439164062497,1
smart-reversal-entry,trend_analysis,OK,5,2,0.4,4.3374515742187505,1.7961387773437452,2.541312796875005,6.133590351562495,1.5274608547321415,0.03883903986109838,100.0,0.46197749790581916,0,6.133590351562495,1,0,0,0,0,0,0,2.541312796875005,1
smash-reversalmastersinmarkets,trend_analysis,OK,5,3,0.4,11.921916450520833,10.998192683430593,-0.7881875000000146,26.041007750000006,0.8678322004893003,0.8869995480405836,83.33333333333333,0.3178596952424583,0,26.041007750000006,2,10.512929101562506,3,0,0,0,0,-0.7881875000000146,2
smc-core-lite-signals,trend_analysis,OK,5,3,0.0,-3.5372315950520377,1.1525845647729434,-4.702925359374975,-1.9677007187499838,-0.7211607841773208,0.4202333241404363,46.208708708708706,0.09,0,-3.941068707031154,37,-1.9677007187499838,8,0,0,0,0,-4.702925359374975,12
smooth-trader-volume-toolkit,trend_analysis,OK,5,1,0.0,-2.5658208593750023,0,-2.5658208593750023,-2.5658208593750023,-0.818560953486412,0,0.0,0.03,0,24.246062480468755,0,0,0,0,0,0,0,-2.5658208593750023,1
smoothed-heiken-ashi-candles-mtf,trend_analysis,OK,5,3,0.2,-14.150230117187485,18.368632642615474,-38.74765499218751,5.382776679687566,-2.7481744692433323,3.2204191025318356,44.48051948051948,0.15999999999999998,0,-38.74765499218751,44,0,0,5.382776679687566,16,0,0,-9.085812039062512,28
structural-flow-decoder-joat,trend_analysis,OK,5,2,0.2,-2.051366820312498,2.834039632812492,-4.88540645312499,0.7826728124999935,-0.8127373019126575,0.9254829020980698,0.0,0.13,0,20.530072859374997,0,0.7826728124999935,1,0,0,8.309633421874999,0,-4.88540645312499,2
structural-svm-ranker-luxalgo,trend_analysis,OK,5,1,0.2,14.009924859375008,0,14.009924859375008,14.009924859375008,0.9317325040033205,0,50.0,0.4200496242968751,0,23.082454722656255,0,0,0,30.758603124999993,0,0,0,14.009924859375008,2
structure-break-liquidity-sweep,trend_analysis,OK,5,2,0.2,7.0895128281249935,29.25123055468748,-22.16171772656249,36.34074338281248,-0.23859391186973,2.0677320469437603,100.0,0.16544756414062495,0,29.220754859375,0,36.34074338281248,2,0,0,-8.509022828125001,0,-22.16171772656249,1
supertrend-recovery-luxalgo,trend_analysis,OK,5,5,0.2,-9.17103558124999,10.211129666409333,-23.265285921874924,5.969900843750001,-1.5209127005766443,1.7269783982881277,47.18197536869569,0.21999999999999997,0,-23.265285921874924,98,-13.49202682812499,25,-13.424914078125017,13,5.969900843750001,13,-1.64285192187503,71
supply-demand-signal-indicator-afx-syndicate,trend_analysis,OK,5,4,0.6,10.430967941406251,10.05068400984115,-2.996990226562499,20.996323101562492,0.7411195357285583,0.8937466290014175,33.33333333333333,0.40871818245667685,0,19.211791812500014,3,-2.996990226562499,1,20.996323101562492,2,3.0406732812499975,0,4.512747078125001,2
