script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
ag-pro-trend-quality,trend_analysis,OK,3,3,0.6666666666666666,1.0343735400730028,1.98555090202439,-1.6507919951781806,3.088316352274633,0.16796879051620964,0.6648226789641964,61.11111111111111,0.47229953129264923,0,3.088316352274633,2,-1.6507919951781806,6,1.6655962631225558,1
algov2,trend_analysis,OK,3,3,0.3333333333333333,-4.985207825409345,6.157451900957193,-11.618355776814612,3.217298206715903,-0.7390091529080675,1.1473832083478874,53.835978835978835,0.26666666666666666,0,-6.554565906129326,35,3.217298206715903,49,-11.618355776814612,36
amt-institutional-model-v2,trend_analysis,OK,3,1,0.0,-3.7149943666322653,0,-3.7149943666322653,-3.7149943666322653,-1.3170445313123769,0,0.0,0.049999999999999996,0,-3.7149943666322653,1,0,0,0,0
aura-mean-reversion-envelopes-pineify,trend_analysis,OK,3,1,0.0,-7.7164014512242725,0,-7.7164014512242725,-7.7164014512242725,-1.5151173786196375,0,0.0,0.049999999999999996,0,-7.7164014512242725,1,0,0,0,0
aura-trend-candlestick-matrix-pineify,trend_analysis,OK,3,2,0.0,-5.806714309006551,2.250744996481721,-8.057459305488273,-3.55596931252483,-0.8460160159129596,0.2937707879995045,25.0,0.09999999999999999,0,-8.057459305488273,3,9.402074343059997,0,-3.55596931252483,2
averaged-heikin-ashi,trend_analysis,OK,3,2,0.0,-6.432487230388295,3.4556656631030283,-9.888152893491323,-2.9768215672852674,-1.2021277804547688,0.44175385307349946,0.0,0.09999999999999999,0,-9.888152893491323,1,9.402074343059997,0,-2.9768215672852674,1
bfm-multi-algorithm-pivot-points,trend_analysis,OK,3,3,0.0,-22.26054393185143,15.128818268133752,-43.57267353302831,-9.971517961391974,-3.7510862006681003,3.223508651818006,38.95547333047333,0.15,0,-9.971517961391974,64,-43.57267353302831,63,-13.237440301134004,74
biais-daily-crt,trend_analysis,OK,3,3,0.0,-19.665318762328297,6.505511615059586,-28.353562667512016,-12.700445878506756,-2.6653370605624893,0.9397383025308857,40.673264357474885,0.15,0,-17.941947740966118,72,-28.353562667512016,78,-12.700445878506756,76
bk-ak-ha-window,trend_analysis,OK,3,2,0.6666666666666666,10.992264026027245,5.7874949191167975,5.204769106910448,16.779758945144042,1.7671358789946838,0.9432223862263801,100.0,0.4024890569068745,0,5.204769106910448,1,16.779758945144042,1,-4.188091735265247,0
blackcat-l2-ttm-squeeze-security-risk,trend_analysis,OK,3,3,1.0,8.305205860369078,5.615554883490503,4.11031416609342,16.24250168239615,1.2661862097227614,1.0025872139375933,75.55555555555556,0.5415260293018453,0,4.562801732617664,5,16.24250168239615,4,4.11031416609342,6
